Name,Address,Phone Number,Website,Google Maps Link
THE LUXURY SOFA,"CHAKEISIANI, Mancheswar IE Rd, Sector A, Rasulgarh, Bhubaneswar, Odisha 751010, India",,,https://www.google.com/maps/place/?q=place_id:ChIJEXY4Pp0LGToRwvFH8GbSd08
Luxury Automotive Odisha,"Plot no - 214 , NH-5 , Pahala, Bharat Motors, near Jeep Showroom, Bhubaneswar, Odisha 752101, India",+91 73810 90009,http://www.luxuryautomotive.in/,https://www.google.com/maps/place/?q=place_id:ChIJpW4dQ2GhGToR48t-LmzdKEo
Exclusive Dealer - Exclusive Premium Luxury Mattress Showroom and Shop in Bhubaneswar,"Aigenia Squre, Bbsr, Buddha Nagar, Laxmisagar, Bhubaneswar, Odisha 751001, India",+91 63710 83581,https://mysleepwell.com/?utm_source=gmb&utm_medium=google&utm_campaign=local-seo,https://www.google.com/maps/place/?q=place_id:ChIJgV_0J_mnGToRakUDbt_RJWM
Exclusive Dealer - Exclusive Premium Luxury Mattress Showroom and Shop in Bhubaneswar,"Sailashree Vihar, Damana Square, Bhimatangi Housing Colony, Bhubaneswar, Odisha 751021, India",+91 96580 65717,https://mysleepwell.com/?utm_source=gmb&utm_medium=google&utm_campaign=local-seo,https://www.google.com/maps/place/?q=place_id:ChIJ10MelhynGToRViBpNBtQYYg
LUSSO D'GARG,"151, Sarala Nagar, Puri - Cuttack Rd, behind Garg Lifestyle, Laxmisagar, Bhubaneswar, Odisha 751006, India",,http://www.lussodgarg.com/,https://www.google.com/maps/place/?q=place_id:ChIJp6y90c-hGToRzAucJm_ENgs
Furnitures point,"Sai Temple sqr, 316, Tankapani Rd, Rajarani Colony, Baragarh, Bhubaneswar, Odisha 751018, India",+91 90400 17910,,https://www.google.com/maps/place/?q=place_id:ChIJfzhwAOOhGToRPEJqQ-oud-g
RAJENDRA ELECTRONICS REPARING SHOP,"IRC Village, Nayapalli, Bhubaneswar, Odisha 751015, India",+91 98537 13844,,https://www.google.com/maps/place/?q=place_id:ChIJd2YFncQJGToRIg_WJ2VOmkI
Laxmi Associates,"Jayadev Vihar, Bhubaneswar, Odisha 751013, India",+91 98610 26700,,https://www.google.com/maps/place/?q=place_id:ChIJ17KZ9cMJGToRyihjsOoOkp8
Nilkamal Furniture Ideas,"No N5, 107, Vip Road, Block N5, IRC, Jayadev Vihar, Bhubaneswar, Odisha 751015, India",+91 78949 75567,https://stores.nilkamalfurniture.com/nilkamal-furniture-ideas-bharat-enterprises-home-furniture-shop-jaydev-vihar-khorda-294429/Home?utm_source=locator&utm_medium=googleplaces,https://www.google.com/maps/place/?q=place_id:ChIJ_a7X62YJGToRqNmOWRBYdEo
Narula Cloth House Textiles,"Western market, Unit-2, Ashok Nagar, Bhubaneswar, Odisha 751019, India",+91 73810 48724,,https://www.google.com/maps/place/?q=place_id:ChIJRTm6FESnGToRdZey2SqUkSw
Zx Town,"Bapuji Nagar, Bhubaneswar, Odisha 751009, India",,https://www.zxtown.in/,https://www.google.com/maps/place/?q=place_id:ChIJbzd9XyinGToRQjPyc-5z84U
Utkalika (Govt. Of Odisha Handicrafts),"BMC Market Complex, Unit-2, Ashok Nagar, Bhubaneswar, Odisha 751001, India",+91 674 253 0187,http://www.utkalikaodisha.com/,https://www.google.com/maps/place/?q=place_id:ChIJD23UJlCnGToRv7kQLJ0nndI
Exclusive Dealer - Exclusive Premium Luxury Mattress Showroom and Shop in Kakatpur,"Balara, Plot No-4538, Gambharipada, Pur, Odisha 752108, India",+91 78479 79586,https://mysleepwell.com/?utm_source=gmb&utm_medium=google&utm_campaign=local-seo,https://www.google.com/maps/place/?q=place_id:ChIJJbMDcjSLGToRW_1ZO_a_Jnk
"GARG LIFESTYLE - Tiles, Sanitary & Bath, Marble, Plumbing","Okil Bagh, 127A, Puri - Cuttack Rd, beside Yes bank, Area, Laxmisagar, Bhubaneswar, Odisha 751006, India",+91 77357 36976,http://www.gargco.co.in/,https://www.google.com/maps/place/?q=place_id:ChIJKzGJpgIKGToRVl3zsnGQ56M
CREATIVE HOMES,"N 5, 118, near Biju Pattnaik College Road, Block N5, IRC Village, Jayadev Vihar, Bhubaneswar, Odisha 751012, India",+91 82601 39410,,https://www.google.com/maps/place/?q=place_id:ChIJs8-BGOkJGToREawwde8vi1Y
Swiss Villa,"524, near Jaganath Furniture, Saheed Nagar, Bhubaneswar, Odisha 751007, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ3auC9BYJGToRGj4hoPDaE9s
MADWHEELZ,"20, PLOT NO, Ln 3, Oscar City, Laxmisagar, Bhubaneswar, Odisha 751006, India",,,https://www.google.com/maps/place/?q=place_id:ChIJmYTPvcihGToRl7nV1hzSXz0
Surebuy Cars - Best Second Hand Car Showroom In Bhubaneswar,"Plot No-117, Cuttack - Puri Bypass Rd, near Aditya Granite, Bhubaneswar, Koradakanta, Odisha 751010, India",+91 76568 38313,https://surebuycars.com/,https://www.google.com/maps/place/?q=place_id:ChIJ9bUMEoULGToR5elfrbj9-g0
MAFATLAL ( Decor & Luxury Furnishing & Uniform Distributor House),"519, Lane No. 1, Mallick Complex, Jagamara, Bhubaneswar, Odisha 751030, India",+91 91242 39430,,https://www.google.com/maps/place/?q=place_id:ChIJAwrzQo2nGToRhMTg0TT-TME
Lingaraj Granites Pvt. Ltd.,"8/A, near Sai International School, Chandaka Industrial Estate, Patia, Bhubaneswar, Odisha 751024, India",+91 80930 69300,https://sites.google.com/view/lingarajgranites/home,https://www.google.com/maps/place/?q=place_id:ChIJ886r3hcJGToRVxFad5A81Ew
Loom Crafts Outdoor Furniture- Bhubaneswar,"Plot No 427 / 428, Nakhara, Pahala, Bhubaneswar, Odisha 753001, India",+91 80006 66625,http://www.loomcrafts.com/,https://www.google.com/maps/place/?q=place_id:ChIJYT1DEU4LGToRZe4d4HpZFMg
Jaquar Orientation Centre,"Plot No 853/1671, 2nd Floor, Puri - Cuttack Rd, Jharapada, Bhubaneswar, Odisha 751006, India",+91 674 351 3202,https://jaquar.com/en/?utm_source=GMB&utm_medium=listing,https://www.google.com/maps/place/?q=place_id:ChIJ24RKYqmgGToRHPDljIIuCZU
Sleepwell Gallery - Exclusive Premium Luxury Mattress Showroom and Shop in Bhubaneswar,"Biju Pattanaik Commercial Complex, Square, Damana, Chandrasekharpur, Bhubaneswar, Odisha 751016, India",+91 8071 629 415,https://storesnearme.mysleepwell.com/sleepwell/stores-in-bhubaneswar/stores-in-chandrasekharpur/sleepwell-gallery-prusty-fashion-in-chandrasekharpur-bhubaneswar--2c73473d-29f1-4219-8f44-7f90106b293f/home,https://www.google.com/maps/place/?q=place_id:ChIJl-YWxDQJGToRuX1aLypgKkE
Odisha luxury furniture,"The Cosmopolis, square, Arya Village, Bhubaneswar, Odisha 751019, India",+91 83288 47459,,https://www.google.com/maps/place/?q=place_id:ChIJ7crW5CenGToRmUz52pPRo6I
